onset	duration	trial_type	value	sample
36.004	0.0	0	1	36004
37.191	0.0	0	1	37191
38.274	0.0	0	1	38274
39.275	0.0	0	1	39275
40.27	0.0	0	1	40270
41.316	0.0	0	1	41316
42.472	0.0	0	1	42472
43.341	0.0	0	1	43341
44.248	0.0	0	1	44248
45.171	0.0	0	1	45171
46.258	0.0	0	1	46258
47.189	0.0	0	1	47189
48.235	0.0	0	1	48235
49.346	0.0	0	1	49346
50.409	0.0	0	1	50409
51.522	0.0	0	1	51522
52.59	0.0	0	1	52590
53.59	0.0	0	1	53590
54.76	0.0	0	1	54760
55.855	0.0	0	1	55855
56.827	0.0	0	1	56827
57.82	0.0	0	1	57820
58.773	0.0	0	1	58773
59.751	0.0	0	1	59751
60.863	0.0	0	1	60863
61.911	0.0	0	1	61911
62.801	0.0	0	1	62801
63.683	0.0	0	1	63683
64.634	0.0	0	1	64634
65.748	0.0	0	1	65748
66.86	0.0	0	1	66860
67.849	0.0	0	1	67849
68.871	0.0	0	1	68871
69.892	0.0	0	1	69892
70.843	0.0	0	1	70843
71.78	0.0	0	1	71780
72.714	0.0	0	1	72714
73.749	0.0	0	1	73749
74.678	0.0	0	1	74678
75.754	0.0	0	1	75754
